on x=-48..-4,y=-28..24,z=-9..40
on x=-17..29,y=-3..43,z=-25..19
on x=-19..35,y=-23..23,z=-11..42
on x=-22..22,y=-25..29,z=-4..49
on x=-10..41,y=-44..7,z=-45..8
on x=-43..6,y=-43..1,z=-42..12
on x=-8..38,y=-44..5,z=-41..10
on x=-42..11,y=-30..17,z=-40..4
on x=-30..17,y=-7..40,z=-41..12
on x=-42..6,y=-42..11,z=-15..37
off x=31..45,y=13..27,z=6..20
on x=-11..38,y=-47..6,z=-21..31
off x=25..43,y=-37..-25,z=1..12
on x=-13..41,y=-15..34,z=-6..43
off x=-23..-9,y=-17..-2,z=-25..-12
on x=-23..25,y=-2..47,z=-2..45
off x=30..40,y=-48..-39,z=2..18
on x=-40..12,y=-35..9,z=1..48
off x=-40..-26,y=-19..-5,z=-18..-7
on x=-40..7,y=-25..24,z=-33..11
on x=-2635..19558,y=-43005..-14948,z=-85459..-53019
on x=-93201..-69302,y=-24010..-4417,z=-20121..-7514
on x=-88945..-59109,y=-14793..18120,z=-30762..-6728
on x=2900..36505,y=-48658..-38148,z=-67246..-55911
on x=26025..31935,y=-11559..3192,z=67576..87335
on x=-69539..-48178,y=-36634..-19092,z=-68507..-43683
on x=3237..38172,y=58734..67376,z=41850..66900
on x=67879..90250,y=-51642..-19028,z=-30524..5715
on x=-50387..-22298,y=41902..58223,z=-54659..-40478
on x=32733..42611,y=-76613..-64462,z=11771..37175
on x=-11239..6111,y=-83850..-73685,z=-23294..-14892
on x=-65150..-43054,y=-26606..-7433,z=-69347..-47642
on x=-11951..-2368,y=16815..47209,z=-84634..-54896
on x=-90547..-60900,y=-34781..-18104,z=-23352..-5345
on x=15985..43916,y=53826..70304,z=-49194..-21219
on x=47755..74392,y=-62235..-39263,z=15543..32708
on x=8115..30673,y=-42917..-4234,z=-76520..-68873
on x=-80801..-58424,y=-22787..-6550,z=36374..51466
on x=72809..92168,y=19295..32812,z=-9376..5319
on x=-64736..-45886,y=42543..62916,z=-8746..4146
on x=27729..57245,y=51950..78651,z=-36910..-6384
on x=65153..74333,y=-41640..-23514,z=-38749..-17542
on x=-28428..377,y=-56245..-27202,z=-81854..-51687
on x=-78592..-56126,y=41547..45697,z=-40312..-10441
on x=-22081..4935,y=-54218..-25392,z=64337..77764
on x=-36011..-4653,y=66865..69952,z=16854..42309
on x=-80198..-61171,y=-45724..-22021,z=-28214..-21151
on x=-20543..5781,y=-43679..-36549,z=67634..77506
on x=-44182..-7314,y=-24681..-5087,z=55453..81401
on x=-48791..-15592,y=5134..41388,z=-83335..-60307
on x=-30604..-15901,y=-60754..-44361,z=34144..65196
on x=-13528..6230,y=-84884..-68028,z=-49539..-26359
on x=23345..47766,y=-28566..-19111,z=63476..75035
on x=40009..45199,y=58156..78503,z=3780..29798
on x=-88577..-52083,y=27480..53492,z=-5246..24635
on x=-77620..-57868,y=-46493..-26431,z=-41645..-23837
on x=-48353..-25818,y=24987..51535,z=-72532..-53921
on x=-31179..-21642,y=-71078..-44610,z=30528..54226
on x=32195..64032,y=43592..52292,z=19537..43434
on x=-25083..-14824,y=-78334..-60566,z=-22754..-16989
on x=-49298..-25860,y=-69064..-44736,z=30907..58468
